,year,factor,1.0,2.0,3.0,H-L
0,2008-01-01,GL,0.71,0.73,0.77,-0.07
1,2009-01-01,GL,0.87,0.95,1.08,-0.21
2,2010-01-01,GL,1.08,1.15,1.38,-0.3
3,2011-01-01,GL,1.1,1.17,1.42,-0.32
4,2012-01-01,GL,1.24,1.38,1.68,-0.43
5,2013-01-01,GL,1.64,1.82,2.2,-0.56
6,2014-01-01,GL,1.89,1.93,2.39,-0.51
7,2015-01-01,GL,1.85,1.92,2.4,-0.55
8,2016-01-01,GL,2.15,2.26,2.72,-0.57
9,2017-01-01,GL,2.57,2.65,3.21,-0.64
10,2018-01-01,GL,2.53,2.48,2.99,-0.46
11,2019-01-01,GL,3.05,2.99,3.61,-0.56
12,2008-01-01,SC,,0.76,,
13,2009-01-01,SC,,0.96,,
14,2010-01-01,SC,,1.17,,
15,2011-01-01,SC,,1.18,,
16,2012-01-01,SC,,1.36,,
17,2013-01-01,SC,,1.75,,
18,2014-01-01,SC,,1.9,,
19,2015-01-01,SC,,1.9,,
20,2016-01-01,SC,,2.18,,
21,2017-01-01,SC,,2.53,,
22,2018-01-01,SC,,2.39,,
23,2019-01-01,SC,,2.84,,
24,2008-01-01,RS,0.72,0.78,0.79,-0.07
25,2009-01-01,RS,0.94,0.97,0.96,-0.03
26,2010-01-01,RS,1.18,1.15,1.17,0.01
27,2011-01-01,RS,1.21,1.16,1.17,0.04
28,2012-01-01,RS,1.4,1.34,1.33,0.08
29,2013-01-01,RS,1.82,1.78,1.65,0.17
30,2014-01-01,RS,1.98,1.94,1.78,0.2
31,2015-01-01,RS,1.97,1.93,1.79,0.19
32,2016-01-01,RS,2.24,2.26,2.04,0.2
33,2017-01-01,RS,2.53,2.66,2.41,0.12
34,2018-01-01,RS,2.39,2.5,2.28,0.1
35,2019-01-01,RS,2.8,2.94,2.76,0.04
36,2008-01-01,LE,0.81,0.76,0.73,0.08
37,2009-01-01,LE,0.97,0.96,0.95,0.02
38,2010-01-01,LE,1.12,1.16,1.21,-0.09
39,2011-01-01,LE,1.15,1.16,1.23,-0.08
40,2012-01-01,LE,1.3,1.33,1.44,-0.15
41,2013-01-01,LE,1.63,1.69,1.93,-0.31
42,2014-01-01,LE,1.74,1.86,2.12,-0.38
43,2015-01-01,LE,1.73,1.86,2.1,-0.37
44,2016-01-01,LE,,2.14,,
45,2017-01-01,LE,,2.49,,
46,2018-01-01,LE,,2.35,,
47,2019-01-01,LE,,2.79,,
48,2008-01-01,mkvalt,,0.76,,
49,2009-01-01,mkvalt,,0.96,,
50,2010-01-01,mkvalt,,1.17,,
51,2011-01-01,mkvalt,,1.18,,
52,2012-01-01,mkvalt,,1.36,,
53,2013-01-01,mkvalt,,1.75,,
54,2014-01-01,mkvalt,,1.9,,
55,2015-01-01,mkvalt,,1.9,,
56,2016-01-01,mkvalt,,2.18,,
57,2017-01-01,mkvalt,,2.53,,
58,2018-01-01,mkvalt,,2.39,,
59,2019-01-01,mkvalt,,2.84,,
